1	@CosmicArtz Again, I am so so sorry this has happened. My heart is with you.  feel free to share thoughts to me if you like...
1	Yumm bacon and srambled eggs 
0	ooh gosssh i won't do anything this envening for the first timee  I will learn my stupid brevet --'
0	Ugh I wish I wasn't at work so I could get some moes right now 
1	@JensenClan88 You pretty much made ICH explode  We're ~proud, though (and *honored*)
1	@bertranddkhar I KNOW! It is fast approaching! We should have a little celebration that day! 
1	Hangover Free. 
0	@Templesmith I tweeted someone asking if O'Brian cleaved Jay's desk in twain and made off with some wenches. Don't think he got the joke 
0	i should probably start practicing physics over the summer so i don't get rusty.  after all 96% of the universe is still missing 
1	@janessapunani concert please explain? im intrigued 
1	juju played a good game today! 
0	@NimlokLI I don't think I can serve alcohol  But good thought!
1	@kingbomani i love everything about the rain. The smell, the feeling, the cold wind, everything 
1	@hermorrine is she  running on Dublin time? 8am here and the sun is shining,  
1	@psychpunk Add @jkoz25. He wants to go to the higherground show too 
0	I would love it if I didn't have cramps anymore. 
1	getting ready for Monday first day 
0	Sick boy just got up from the bed  ho ho
0	wrk is 2 busy 2day 
0	@StripeyGreen  whassamatta you, eh?
1	Laying in the hammock and taking a nap 
0	GODDAMNIT! I just searced #followsaturday. Apparently it's already being used. Back to the drawing board. 
0	@JayDoub it hates me  lol sike nah
0	more hospital visitings coming soon 
0	@thisislilwayne why!?! Wtf! Im tired of waitin! 
1	@Lark_vamp_ GO LARK GOO LARK!!! *laughs* So you think you can Dance girl? *dances like a professional too* lets do this! 
1	@SilkCharm I think *anything* before @ will #fixreplies  How are you, anyway..?
1	@chynnashley well obviously I have OJD   WOOP 
0	why is that the car i want everyone wants 
1	can't wait to see that austin city limits sign.  it is highly doubtful that there is a city i enjoy as much as austin.
0	@endlow aww what happened 
0	Procrastinating the inevitable... Going to international mall 
0	Tired. So very tired. 
1	If I could listen to Matchbox Twenty/Rob Thomas all day long, I probably would!  It's a beautiful day in Phoenix! 
1	Just got done playing some pass with my cousins. Wet fields + rain + some epic dives = grass stained shirt and grass stained pants 
1	@COGBones I just 1350 pointed Fallout 3 
0	@Stormlite02 You missed it by a thousand hun it is 3316 
1	Watching Wizards of Waverly Place 
1	Painting my toenails &quot;Get Ready&quot; and watching Grey's 
1	Thinking about how much I hate the Nicola-Jo situation!  Jo is a evil old bitch &amp; rottning n hell 4 all etrnty is jst fne by ME 
1	@mussomitchel http://twitpic.com/3lxqd - i could die if you�re thinking of me 
1	Philly and crackers  work ex is going on forever and the boss gives evils :s
0	Rumor has it! My families house is being painted from lemon to taupe! I know we don't own it anymore but somebody should have called 
1	finally getting the hang of my xperia after 3 months. 
1	eating pasta with pesto and cheese after teaching 5 hrs of swimming 
0	@FashnsSwthrt that's crazy  did u has insurance
0	away to finally get organised 
1	Hey guys guess where I am tweeting from....! I dare you..  * big grins*
1	Red, green or christmas? Please tweet back if you have any idea what I am talking about 
1	@alyssavogt I'll be at my moms next weekend for her birthday, it has been a while and her b-day is today but I just got back from holiday 
1	@SkittleMittens Oh really - what have you got planned  xx
0	@girl_from_oz @dannyisaywhat She's moved the date forward to August 25th 
1	Can't stop watching the new video Clip of Lady GaGa, Paparazzi !!! That's soooo nice !!  I want more and more !! 
1	@backstreetboys That's awesome! 
1	@TrishsVoice yes and it was great fun. thanks! 
0	So tired,  1 down 3 more days to go!!
0	@lxwoudtoo you walked home? impressed!!! was it raining? 
1	@mrsdam, Cool, Sweet and nice all in one 
0	is wishing he had a dvr or something to record the Tonys tonight. 
1	what a beautiful day! 
0	I have really rude family members, im pretty sure im the only one with manner...and that doesnt smell 
0	@thewesleychan boo  hahha i'll take any pebble ahhaha it'll be cool to paint on it and write Massachusetts, wouldn't it?
1	Watch out...For me 
0	@sophietay thanks... Now I am figuring out how to add people 
1	Windows 7 vs Leopard ( I use both too hehe  ) http://bit.ly/ds6qC
0	&lt;----not feeling great 
1	@mv1008 OMGGGG! It looks so sick! They're so cute.  lol!
1	if your welcome package's address label has a small gold mark on the bottom right corner, you were served by Ash, Wee Koon, Job and Lide 
1	@milwaukeeseo - Thank you 
1	Had a super fun afternoon with Malcolm Wei Jie and Choong Kai! They rock socks! Gonna blog about it!  Love you guys!  - http://tweet.sg
1	@saarmst1 Thanks for asking and trying. 
0	@justaredherring i have permissio to leave only on tuesday 
0	Standing in line for Kawasaki demo sign up. I'm far enough back that I might miss out on the bike I want to ride. 
1	@jowyang OMG you travel so much. You must have LOTS of points. Better take your wife somewhere nice for putting up with all that travel 
0	No girl too stormy. And i just got home. I feel bad. 
1	http://twitpic.com/2y9yz - quite impressed that the internet still works in my garden, i feel like summer is here 
1	Off to work yet again. Really hoping no one wants to see movies today. Beautiful day in Indiana 
0	@davidgallant that is the new MASS highway system of awesome.. wait wait wait.. is now the new commute. 
0	As soon as you have your first Facebook friend... well I don't know  �it might be harder to find your real friends again.
0	@VonJe78 i am a scorpio with a Leo Rising and Cap MOON BOOOOOOOOOO   
1	the party and skating were too short. i wish i could do it again! 
1	Sitten here Wonder what all the talk is about 
0	Smells like bacon in here. I already ate but it's making me hungry... For bacon. 
1	Note to all record promoters....I don't play hippidy hop....unless Diplo or someone dope remixes it  Write that one down
0	missed the farewell party... damn it! 
1	Safely in West Yellowstone after a looooong day of driving through some beautiful surroundings in spite of lots of thundershowers. 
0	@TheQBug i know...  sucky.
0	@aimeewins my cousin Spencer was their drummer. It's so sad that the band broke up 
1	Just posted a new blog post. Be forewarned it's sappy and I love it! 
